id,left,top,right,bottom,row_index,col_index,x,y
1135,77.2768675,23.2813564,77.2773675,23.2808564,34,15,77.2771175,23.2811064
1136,77.2768675,23.2808564,77.2773675,23.2803564,35,15,77.2771175,23.2806064
1137,77.2768675,23.2803564,77.2773675,23.2798564,36,15,77.2771175,23.2801064
1158,77.2773675,23.2898564,77.2778675,23.2893564,17,16,77.2776175,23.2896064
1159,77.2773675,23.2893564,77.2778675,23.2888564,18,16,77.2776175,23.2891064
1160,77.2773675,23.2888564,77.2778675,23.2883564,19,16,77.2776175,23.2886064
1161,77.2773675,23.2883564,77.2778675,23.2878564,20,16,77.2776175,23.2881064
1162,77.2773675,23.2878564,77.2778675,23.2873564,21,16,77.2776175,23.2876064
1163,77.2773675,23.2873564,77.2778675,23.2868564,22,16,77.2776175,23.2871064
1164,77.2773675,23.2868564,77.2778675,23.2863564,23,16,77.2776175,23.2866064
1176,77.2773675,23.2808564,77.2778675,23.2803564,35,16,77.2776175,23.2806064
1177,77.2773675,23.2803564,77.2778675,23.2798564,36,16,77.2776175,23.2801064
1198,77.2778675,23.2898564,77.2783675,23.2893564,17,17,77.2781175,23.2896064
1199,77.2778675,23.2893564,77.2783675,23.2888564,18,17,77.2781175,23.2891064
1200,77.2778675,23.2888564,77.2783675,23.2883564,19,17,77.2781175,23.2886064
1201,77.2778675,23.2883564,77.2783675,23.2878564,20,17,77.2781175,23.2881064
1202,77.2778675,23.2878564,77.2783675,23.2873564,21,17,77.2781175,23.2876064
